estimator_idx,estimator_weight,estimator_error
200,0.00697186636663264,0.48257739067334626
201,0.0062746797299693974,0.48431844540403
202,0.006667542828834295,0.48333731545747105
203,0.006276700861451954,0.4843133975471115
204,0.0065902360862467885,0.4835303701527869
205,0.006267980521967373,0.4843351769675063
206,0.0065161759567101615,0.48371532183696586
207,0.011699222687450626,0.47078525797124393
208,0.009965782776477632,0.47510614280664515
209,0.006060583365308167,0.4848531775774901
210,0.006500592407154596,0.4837542394834077
211,0.013746497277269985,0.4656877718884742
212,0.009930094810021932,0.4751951423527211
213,0.01091173390046782,0.4727477000562491
214,0.006877667167762606,0.48281260657434205
215,0.015309155370924206,0.4618016870113999
216,0.01014118720217461,0.4746687379422634
217,0.006153502266482248,0.48462109678794996
218,0.006005690006786233,0.48499028617059237
219,0.006100381691881955,0.48475377366939254
220,0.00597277728930941,0.48507249422010074
221,0.00605740828369086,0.48486110800087656
222,0.005950218271440421,0.485128841685928
223,0.0060128568440956124,0.4849723852428589
224,0.005918915143386488,0.48520703064211457
225,0.005969794840162496,0.48507994370047985
226,0.005897819071171834,0.4852597248219558
227,0.005922195701206073,0.48519883643045136
228,0.011582570357430627,0.4710759030394452
229,0.009318645658863811,0.4767202296574631
230,0.005617383871347033,0.4859602320016607
231,0.005917279097658029,0.48521111717723403
232,0.005614405981594475,0.4859676708592817
233,0.005855832467202471,0.48536460075271665
234,0.005606096519668652,0.4859884281764368
235,0.005799902868741541,0.4855043060904342
236,0.00911885541627891,0.47721864552117166
237,0.006056546034817523,0.4848632616471869
238,0.00544714871288761,0.4863854943999658
239,0.007927155368968132,0.48019248299351197
240,0.012052386936747043,0.4699054532981335
241,0.008185095116853103,0.4795486788685947
242,0.01330858557777471,0.46677755748245014
243,0.008373756340620186,0.4790778332037072
244,0.010205171435629911,0.4745091905194615
245,0.005507247427413171,0.48623536024241965
246,0.00542083296418283,0.4864512352293884
247,0.0054699038308619235,0.4863286489590773
248,0.005396840941751663,0.4865111714380867
249,0.005434161464426157,0.4864179385059563
